❯ poetry run python -m deriv8
Loading data...
Using 60000/60000 random training examples and 10000/10000 random test examples
Preparing data...
Training 120 mini-batches of size 500 for 20 epochs
epoch: 0
 batch: 90/120  training loss: 0.57  train accuracy: 83.00%  duration: 7.60s
 batch: 91/120  training loss: 0.61  train accuracy: 81.80%  duration: 7.67s
 batch: 92/120  training loss: 0.56  train accuracy: 82.00%  duration: 7.52s
 batch: 93/120  training loss: 0.55  train accuracy: 83.40%  duration: 7.84s
 batch: 94/120  training loss: 0.57  train accuracy: 82.20%  duration: 8.41s
 batch: 95/120  training loss: 0.55  train accuracy: 83.40%  duration: 8.27s
 batch: 96/120  training loss: 0.54  train accuracy: 83.20%  duration: 8.49s
 batch: 97/120  training loss: 0.53  train accuracy: 84.60%  duration: 8.38s
 batch: 98/120  training loss: 0.57  train accuracy: 83.20%  duration: 8.24s
 batch: 99/120  training loss: 0.56  train accuracy: 82.20%  duration: 8.42s
 batch: 100/120  training loss: 0.56  train accuracy: 83.00%  duration: 7.76s
 batch: 101/120  training loss: 0.51  train accuracy: 84.80%  duration: 8.38s
 batch: 102/120  training loss: 0.58  train accuracy: 82.60%  duration: 7.98s
 batch: 103/120  training loss: 0.60  train accuracy: 80.80%  duration: 7.68s
 batch: 104/120  training loss: 0.60  train accuracy: 84.40%  duration: 7.63s
 batch: 105/120  training loss: 0.58  train accuracy: 81.60%  duration: 7.61s
 batch: 106/120  training loss: 0.55  train accuracy: 83.20%  duration: 7.62s
 batch: 107/120  training loss: 0.53  train accuracy: 83.60%  duration: 7.55s
 batch: 108/120  training loss: 0.50  train accuracy: 84.40%  duration: 7.62s
 batch: 109/120  training loss: 0.53  train accuracy: 85.40%  duration: 7.60s
 batch: 110/120  training loss: 0.60  train accuracy: 80.40%  duration: 7.59s
 batch: 111/120  training loss: 0.52  train accuracy: 84.00%  duration: 7.56s
 batch: 112/120  training loss: 0.48  train accuracy: 85.60%  duration: 7.56s
 batch: 113/120  training loss: 0.53  train accuracy: 82.80%  duration: 7.55s
